level_0,index,Participant,State,Activity,Minute,MET (Google Fit),Datetime,Watch Intensity,MET (Ainsworth),MET (Freedson),MET (VM3),model_classification,scaled_intensity,estimation
1731,1751,P404,lab,slow walk,1,1.917063149433718,2019-10-08 13:40:00,5.5541011350758325,2.8,3.423328,4.013654366367046,1,3.46058977435358,3.46058977435358
1732,1752,P404,lab,slow walk,2,1.917063149433718,2019-10-08 13:41:00,6.388094779995327,2.8,3.339853,3.824756674719183,1,3.7850199741764223,3.7850199741764223
1733,1753,P404,lab,slow walk,3,1.917063149433718,2019-10-08 13:42:00,4.114919778038764,2.8,3.203113,3.680540999613669,1,2.9007367130153034,2.9007367130153034
1734,1754,P404,lab,slow walk,4,1.917063149433718,2019-10-08 13:43:00,5.597726318394119,2.8,3.029008,3.5707291237869363,1,3.4775603196658595,3.4775603196658595
1735,1755,P404,lab,slow walk,5,1.917063149433718,2019-10-08 13:44:00,4.353515272638877,2.8,3.3939130000000004,3.9238732477396967,1,2.9935522691787044,2.9935522691787044
1736,1756,P404,lab,breathing,1,1.6431969852289012,2019-10-08 13:49:00,2.5594519240061366,1.0,1.439008,0.668876,0,2.2956472740537794,1.5
1737,1757,P404,lab,breathing,2,1.6431969852289012,2019-10-08 13:50:00,0.04940432580687816,1.0,1.439008,0.668876,0,1.3192186779734818,1.3192186779734818
1738,1758,P404,lab,breathing,3,1.6431969852289012,2019-10-08 13:51:00,0.042593369438214464,1.0,1.439008,0.668876,0,1.316569161458421,1.316569161458421
1739,1759,P404,lab,breathing,4,1.6431969852289012,2019-10-08 13:52:00,0.12433023173895293,1.0,1.439008,0.668876,0,1.3483654547883066,1.3483654547883066
1740,1760,P404,lab,breathing,5,1.6431969852289012,2019-10-08 13:53:00,0.04129050018480604,1.0,1.439008,0.668876,0,1.3160623348958909,1.3160623348958909
1741,1761,P404,lab,fast walk,1,4.107992463072253,2019-10-08 13:56:00,6.323859408543378,4.3,3.774718,4.342829683149258,1,3.7600319007986425,3.7600319007986425
1742,1762,P404,lab,fast walk,2,4.107992463072253,2019-10-08 13:57:00,3.719153719949888,4.3,4.1905030000000005,4.882067278293689,1,2.7467805502902665,2.7467805502902665
1743,1763,P404,lab,fast walk,3,4.107992463072253,2019-10-08 13:58:00,5.252791829861992,4.3,4.0156030000000005,4.686184196115778,1,3.343378044150953,3.343378044150953
1744,1764,P404,lab,fast walk,4,4.107992463072253,2019-10-08 13:59:00,6.280995676667013,4.3,4.017193,4.712053933446166,1,3.7433575661888816,3.7433575661888816
1745,1765,P404,lab,fast walk,5,4.107992463072253,2019-10-08 14:00:00,7.325987459703867,4.3,4.156318,4.8893893010518985,1,4.149867729724481,4.149867729724481
1746,1766,P404,lab,breathing,1,0.958531574716859,2019-10-08 14:07:00,4.195578405197926,1.0,1.454908,0.6948378170589039,0,2.9321135642492346,1.5
1747,1767,P404,lab,breathing,2,0.958531574716859,2019-10-08 14:08:00,0.050358807524851404,1.0,1.439008,0.668876,0,1.3195899789976275,1.3195899789976275
1748,1768,P404,lab,breathing,3,0.958531574716859,2019-10-08 14:09:00,0.04420613027024895,1.0,1.439008,0.668876,0,1.3171965383241688,1.3171965383241688
1749,1769,P404,lab,breathing,4,0.958531574716859,2019-10-08 14:10:00,0.03683304297637606,1.0,1.439008,0.668876,0,1.3143283483821542,1.3143283483821542
1750,1770,P404,lab,breathing,5,0.958531574716859,2019-10-08 14:11:00,0.06380704986863489,1.0,1.442983,0.7045211387148375,0,1.324821452855298,1.324821452855298
1751,1771,P404,lab,standing,1,1.0954646568192674,2019-10-08 14:14:00,4.1161633605027985,1.8,1.461268,0.7663185983900266,0,2.9012204765424734,1.5
1752,1772,P404,lab,standing,2,1.0954646568192674,2019-10-08 14:15:00,5.350396126014863,1.8,1.463653,0.8999828239278105,0,3.3813468961887905,1.5
1753,1773,P404,lab,standing,3,1.0954646568192674,2019-10-08 14:16:00,2.908226014901381,1.8,1.439008,0.7070045862313304,0,2.4313231856047564,1.5
1754,1774,P404,lab,standing,4,1.0954646568192674,2019-10-08 14:17:00,3.926041093618799,1.8,1.439008,0.668876,1,2.8272613937464617,2.8272613937464617
1755,1775,P404,lab,standing,5,1.0954646568192674,2019-10-08 14:18:00,7.216561462648064,1.8,1.4485480000000002,0.7158996021695488,1,4.107300141461798,4.107300141461798
1756,1776,P404,lab,breathing,1,1.0954646568192674,2019-10-08 14:21:00,3.0533350012330702,1.0,1.439008,0.668876,0,2.4877717421596746,1.5
1757,1777,P404,lab,breathing,2,1.0954646568192674,2019-10-08 14:22:00,0.03856206133806261,1.0,1.439008,0.668876,0,1.315000950356997,1.315000950356997
1758,1778,P404,lab,breathing,3,1.0954646568192674,2019-10-08 14:23:00,0.03795669907594277,1.0,1.439008,0.668876,0,1.3147654595941345,1.3147654595941345
1759,1779,P404,lab,breathing,4,1.0954646568192674,2019-10-08 14:24:00,0.03706204562619241,1.0,1.439008,0.668876,0,1.314417432244954,1.314417432244954
1760,1780,P404,lab,breathing,5,1.0954646568192674,2019-10-08 14:25:00,0.10160257368179444,1.0,1.439008,0.668876,0,1.3395242139828076,1.3395242139828076
1761,1781,P404,lab,squats,1,0.958531574716859,2019-10-08 14:28:00,3.924888687078455,5.0,2.418448,2.9982538447598417,1,2.826813098383016,2.826813098383016
1762,1782,P404,lab,squats,2,0.958531574716859,2019-10-08 14:29:00,4.576208458061537,5.0,2.363593,2.862123053212428,1,3.0801816998536027,3.0801816998536027
1763,1783,P404,lab,squats,3,0.958531574716859,2019-10-08 14:30:00,2.544941214458291,5.0,2.280118,2.7649480877300485,1,2.2900024919539907,2.2900024919539907
1764,1784,P404,lab,squats,4,0.958531574716859,2019-10-08 14:31:00,1.8439531542093703,5.0,2.127478,2.8304312231143665,1,2.017312528612679,2.017312528612679
1765,1785,P404,lab,squats,5,0.958531574716859,2019-10-08 14:32:00,2.358672349639835,5.0,2.3882380000000003,3.2470575545841607,1,2.2175424133886934,2.2175424133886934
1766,1786,P404,lab,breathing,1,0.958531574716859,2019-10-08 14:35:00,0.3860297893374425,1.0,1.439008,0.668876,0,1.45016867629058,1.45016867629058
1767,1787,P404,lab,breathing,2,0.958531574716859,2019-10-08 14:36:00,0.04617277447124782,1.0,1.439008,0.668876,0,1.317961578651511,1.317961578651511
1768,1788,P404,lab,breathing,3,0.958531574716859,2019-10-08 14:37:00,0.0401493167903235,1.0,1.439008,0.668876,0,1.3156184054259703,1.3156184054259703
1769,1789,P404,lab,breathing,4,0.958531574716859,2019-10-08 14:38:00,0.08013256836897419,1.0,1.439008,0.668876,0,1.331172210156078,1.331172210156078
